"","Day","S","E","I","R"
"350",350,63045.3943161311,425.723943981683,425042.194591954,-388513.312852066
"351",351,62297.773859591,423.706531523397,422743.794834833,-385465.275225947
"352",352,74652.1884819915,421.688197717786,420380.519488203,-395454.396167912
"353",353,77925.358564551,419.669101477997,419975.550080862,-398320.577746891
"354",354,63674.1105497352,417.649400194992,419628.578666233,-383720.338616163
"355",355,75758.3393601233,415.629249725647,416781.029060721,-392954.99767057
"356",356,64803.6519113489,413.608804381447,414524.972411604,-379742.233127335
"357",357,47742.6586719082,411.588216917758,413177.008211707,-361331.255100533
"358",358,45262.1742994046,409.567638523679,411540.949270745,-357212.691208673
"359",359,52382.5279592334,407.547218812477,408041.445335466,-360831.520513512
"360",360,51753.8108450483,405.527105812572,406279.100491285,-358438.438442146
"361",361,59284.3250822479,403.5074459591,404058.194201979,-363746.026730185
"362",362,55578.8110693679,401.488384086014,404545.277113707,-360525.576567161
"363",363,52312.029542502,399.470063418745,401722.196567286,-354433.696173206
"364",364,63353.0390009696,397.452625567393,401524.866219914,-365275.357846451
"365",365,60695.1370823715,395.436210520464,398255.143949275,-359345.717242167
